Frame No.,UTC Timestamp,Lat,Long,estimated_time
0,20:07:32,32.70297,-117.23463100000001,00:00:00
1,20:07:32,32.70297,-117.23463100000001,00:00:00
2,20:07:32,32.70297,-117.23463100000001,00:00:00
3,20:07:32,32.70297,-117.23463100000001,00:00:00
4,20:07:32,32.70297,-117.23463100000001,00:00:00
5,20:07:32,32.70297,-117.23463100000001,00:00:00
6,20:07:32,32.70297,-117.23463100000001,00:00:00
7,20:07:32,32.70297,-117.23463100000001,00:00:00
8,20:07:32,32.70297,-117.23463100000001,00:00:00
9,20:07:32,32.70297,-117.23463100000001,00:00:00
10,20:07:32,32.70297,-117.23463100000001,00:00:00
11,20:07:32,32.70297,-117.23463100000001,00:00:00
12,20:07:32,32.70297,-117.23463100000001,00:00:00
13,20:07:32,32.70297,-117.23463100000001,00:00:00
14,20:07:32,32.70297,-117.23463100000001,00:00:00
15,20:07:32,32.70297,-117.23463100000001,00:00:00
16,20:07:32,32.70297,-117.23463100000001,00:00:00
17,20:07:32,32.70297,-117.23463100000001,00:00:00
18,20:07:32,32.70297,-117.23463100000001,00:00:00
19,20:07:32,32.70297,-117.23463100000001,00:00:00
20,20:07:32,32.70297,-117.23463100000001,00:00:00
21,20:07:32,32.70297,-117.23463100000001,00:00:00
22,20:07:32,32.70297,-117.23463100000001,00:00:00
23,20:07:32,32.70297,-117.23463100000001,00:00:00
24,20:07:32,32.70297,-117.23463100000001,00:00:00
25,20:07:32,32.70297,-117.23463100000001,00:00:00
26,20:07:32,32.70297,-117.23463100000001,00:00:00
27,20:07:32,32.70297,-117.23463100000001,00:00:00
28,20:07:32,32.70297,-117.23463100000001,00:00:00
29,20:07:32,32.70297,-117.23463100000001,00:00:00
30,20:07:32,32.70297,-117.23463100000001,00:00:00
31,20:07:32,32.70297,-117.23463100000001,00:00:00
32,20:07:32,32.70297,-117.23463100000001,00:00:00
33,20:07:32,32.70297,-117.23463100000001,00:00:00
34,20:07:32,32.70297,-117.23463100000001,00:00:00
35,20:07:32,32.70297,-117.23463100000001,00:00:00
36,20:07:32,32.70297,-117.23463100000001,00:00:00
37,20:07:32,32.70297,-117.23463100000001,00:00:00
38,20:07:32,32.70297,-117.23463100000001,00:00:00
39,20:07:32,32.70297,-117.23463100000001,00:00:00
40,20:07:32,32.70297,-117.23463100000001,00:00:00
